NHID,x,y,WORKER,POP,PUMA5CE,REP_POP
1,-87.25261815,30.47145543,15,89,03302,120
2,-87.21726744,30.54097931,13,78,03301,120
3,-87.16719858,30.50621452,8,47,03301,100
4,-87.23892499,30.43066659,15,88,03302,118
5,-87.21217285,30.52021906,9,54,03301,72
6,-87.20734299,30.53948638,8,43,03301,82
7,-87.17562682,30.46407413,12,67,03302,100
8,-87.31006923,30.51425803,19,111,03301,180
9,-87.21424139,30.41666829,6,35,03302,65
10,-87.16833171,30.48182776,13,78,03302,120
11,-87.23258985,30.44360361,18,106,03302,155
12,-87.30368318,30.53478865,6,32,03301,44
13,-87.2076578,30.50787421,6,34,03301,45
14,-87.19942343,30.468073360000002,13,78,03302,120
15,-87.22432182,30.41429093,21,121,03302,210
16,-87.28635528,30.54790399,1,6,03301,14
17,-87.21586103,30.53923289,3,16,03301,22
18,-87.30828043,30.42472867,7,40,03302,55
19,-87.21473786,30.52011154,10,57,03301,80
20,-87.27310383,30.97119048,9,50,03301,88
21,-87.22575827,30.51130497,9,51,03301,85
22,-87.16752511,30.5075887,9,53,03301,100
23,-87.30543414,30.48840037,7,37,03301,60
24,-87.22037945,30.52256365,5,27,03301,60
25,-87.21363251,30.5400356,17,97,03301,170
26,-87.2072409,30.53951863,7,38,03301,54
27,-87.51723979,30.78489229,3,17,03301,25
28,-87.19839875,30.50841572,14,82,03301,120
29,-87.22174486,30.51669034,18,105,03301,180
30,-87.30452335,30.48963429,12,68,03301,120
31,-87.221035,30.514562,10,58,03301,90
32,-87.22223662,30.48350675,13,74,03302,105
33,-87.22209722,30.52773351,10,60,03301,98
34,-87.31442633,30.42413232,1,4,03302,15
35,-87.28491995,30.51408569,1,3,03301,8
36,-87.225701,30.48236,12,68,03302,130
37,-87.24332206,30.52589151,2,8,03301,15
38,-87.21501566,30.52035209,8,48,03301,80
39,-87.26772579,30.43016572,1,4,03302,10
40,-87.22973821,30.41497209,1,3,03302,6
41,-87.28377204,30.44243742,8,46,03302,64
