Date,rcase,rdeath
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,1,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,1,0
2020-03-18,1,0
2020-03-19,2,0
2020-03-20,0,0
2020-03-21,4,0
2020-03-22,7,0
2020-03-23,8,0
2020-03-24,7,0
2020-03-25,12,0
2020-03-26,13,0
2020-03-27,9,0
2020-03-28,13,0
2020-03-29,13,0
2020-03-30,14,0
2020-03-31,13,0
2020-04-01,20,0
2020-04-02,13,4
2020-04-03,11,1
2020-04-04,14,0
2020-04-05,6,0
2020-04-06,16,2
2020-04-07,14,2
2020-04-08,23,0
2020-04-09,11,0
2020-04-10,13,3
2020-04-11,3,1
2020-04-12,6,0
2020-04-13,9,0
2020-04-14,7,0
2020-04-15,15,3
2020-04-16,4,0
2020-04-17,20,0
2020-04-18,29,1
2020-04-19,7,0
2020-04-20,6,1
2020-04-21,15,0
2020-04-22,1,0
2020-04-23,4,4
2020-04-24,5,1
2020-04-25,5,0
2020-04-26,3,0
2020-04-27,4,0
2020-04-28,0,1
2020-04-29,6,1
2020-04-30,42,1
2020-05-01,5,2
2020-05-02,0,0
2020-05-03,4,0
2020-05-04,7,0
2020-05-05,3,1
2020-05-06,4,0
2020-05-07,2,0
2020-05-08,5,0
2020-05-09,4,0
2020-05-10,3,0
2020-05-11,3,0
2020-05-12,2,1
2020-05-13,1,0
2020-05-14,4,1
2020-05-15,4,0
2020-05-16,2,0
2020-05-17,2,0
2020-05-18,2,0
2020-05-19,4,0
2020-05-20,6,0
2020-05-21,2,1
2020-05-22,5,1
2020-05-23,4,0
2020-05-24,0,0
2020-05-25,5,0
2020-05-26,1,0
2020-05-27,2,0
2020-05-28,11,0
2020-05-29,7,0
2020-05-30,2,0
2020-05-31,4,0
2020-06-01,3,0
2020-06-02,6,0
2020-06-03,2,0
2020-06-04,3,0
2020-06-05,7,0
2020-06-06,7,0
2020-06-07,6,0
2020-06-08,4,0
2020-06-09,7,0
2020-06-10,14,0
2020-06-11,27,0
2020-06-12,61,0
2020-06-13,16,1
2020-06-14,17,0
2020-06-15,23,0
2020-06-16,54,0
2020-06-17,26,3
2020-06-18,28,0
2020-06-19,70,0
2020-06-20,65,0
2020-06-21,20,1
2020-06-22,49,1
2020-06-23,54,0
2020-06-24,53,0
2020-06-25,94,1
2020-06-26,137,0
2020-06-27,108,0
2020-06-28,67,0
2020-06-29,69,0
2020-06-30,134,0
2020-07-01,92,1
2020-07-02,112,0
2020-07-03,98,0
2020-07-04,162,0
2020-07-05,60,0
2020-07-06,145,2
2020-07-07,124,1
2020-07-08,120,1
2020-07-09,160,0
2020-07-10,130,1
2020-07-11,156,0
2020-07-12,155,0
2020-07-13,138,0
2020-07-14,138,1
2020-07-15,156,7
2020-07-16,144,2
2020-07-17,84,0
2020-07-18,175,1
2020-07-19,66,1
2020-07-20,96,1
2020-07-21,146,-1
2020-07-22,177,1
2020-07-23,184,4
2020-07-24,124,1
2020-07-25,122,1
2020-07-26,91,11
2020-07-27,114,1
2020-07-28,83,1
2020-07-29,95,1
2020-07-30,125,3
2020-07-31,113,2
2020-08-01,93,0
2020-08-02,59,3
2020-08-03,80,4
2020-08-04,48,9
2020-08-05,80,1
2020-08-06,146,2
2020-08-07,166,6
2020-08-08,101,1
2020-08-09,24,0
2020-08-10,85,1
2020-08-11,110,8
2020-08-12,121,1
2020-08-13,125,4
2020-08-14,135,3
2020-08-15,95,1
2020-08-16,50,3
2020-08-17,77,4
2020-08-18,81,3
2020-08-19,107,0
2020-08-20,148,0
2020-08-21,83,2
2020-08-22,53,0
2020-08-23,46,0
2020-08-24,39,3
2020-08-25,61,3
2020-08-26,61,2
2020-08-27,122,4
2020-08-28,77,15
2020-08-29,63,0
2020-08-30,15,1
2020-08-31,162,5
2020-09-01,77,4
2020-09-02,107,6
2020-09-03,90,2
2020-09-04,105,1
2020-09-05,49,0
2020-09-06,42,0
2020-09-07,20,-1
2020-09-08,44,4
2020-09-09,61,8
2020-09-10,63,5
2020-09-11,63,7
2020-09-12,29,0
2020-09-13,21,0
2020-09-14,39,10
2020-09-15,49,3
2020-09-16,47,7
2020-09-17,51,7
2020-09-18,55,0
2020-09-19,40,0
2020-09-20,14,0
2020-09-21,52,3
2020-09-22,42,1
2020-09-23,36,11
2020-09-24,32,5
2020-09-25,30,2
2020-09-26,28,0
2020-09-27,16,1
2020-09-28,68,2
2020-09-29,93,4
2020-09-30,112,0
2020-10-01,59,1
2020-10-02,67,2
2020-10-03,52,4
2020-10-04,31,0
2020-10-05,43,-1
2020-10-06,53,3
2020-10-07,142,5
2020-10-08,68,1
2020-10-09,48,4
2020-10-10,39,1
2020-10-11,24,3
2020-10-12,55,2
2020-10-13,61,1
2020-10-14,51,4
2020-10-15,49,2
2020-10-16,56,2
2020-10-17,53,1
2020-10-18,29,3
2020-10-19,63,0
2020-10-20,41,0
2020-10-21,86,9
2020-10-22,74,0
2020-10-23,51,-1
2020-10-24,35,0
2020-10-25,41,0
2020-10-26,54,2
2020-10-27,70,3
2020-10-28,42,0
2020-10-29,83,0
2020-10-30,40,-1
2020-10-31,88,0
2020-11-01,37,0
2020-11-02,90,1
2020-11-03,116,5
2020-11-04,115,2
2020-11-05,78,3
2020-11-06,53,-1
2020-11-07,80,0
2020-11-08,52,1
