Date,rcase,rdeath
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,1,0
2020-03-14,0,0
2020-03-15,3,0
2020-03-16,1,0
2020-03-17,5,0
2020-03-18,3,0
2020-03-19,1,0
2020-03-20,4,1
2020-03-21,15,1
2020-03-22,7,0
2020-03-23,10,1
2020-03-24,1,0
2020-03-25,8,0
2020-03-26,20,0
2020-03-27,24,0
2020-03-28,16,0
2020-03-29,19,0
2020-03-30,26,1
2020-03-31,43,0
2020-04-01,52,0
2020-04-02,28,5
2020-04-03,55,0
2020-04-04,45,0
2020-04-05,26,0
2020-04-06,57,0
2020-04-07,42,1
2020-04-08,38,0
2020-04-09,35,1
2020-04-10,22,0
2020-04-11,22,2
2020-04-12,28,0
2020-04-13,16,0
2020-04-14,22,1
2020-04-15,26,0
2020-04-16,34,0
2020-04-17,29,1
2020-04-18,18,0
2020-04-19,15,0
2020-04-20,27,1
2020-04-21,10,1
2020-04-22,19,0
2020-04-23,18,0
2020-04-24,18,1
2020-04-25,21,0
2020-04-26,5,0
2020-04-27,9,1
2020-04-28,5,1
2020-04-29,8,0
2020-04-30,17,0
2020-05-01,9,2
2020-05-02,15,1
2020-05-03,22,1
2020-05-04,14,2
2020-05-05,7,1
2020-05-06,14,0
2020-05-07,7,2
2020-05-08,36,1
2020-05-09,25,0
2020-05-10,16,0
2020-05-11,13,0
2020-05-12,20,0
2020-05-13,9,3
2020-05-14,35,0
2020-05-15,13,0
2020-05-16,27,2
2020-05-17,8,1
2020-05-18,19,0
2020-05-19,15,1
2020-05-20,23,0
2020-05-21,25,1
2020-05-22,28,4
2020-05-23,29,0
2020-05-24,30,0
2020-05-25,16,2
2020-05-26,26,1
2020-05-27,19,3
2020-05-28,40,0
2020-05-29,39,1
2020-05-30,42,1
2020-05-31,13,2
2020-06-01,13,1
2020-06-02,22,0
2020-06-03,22,1
2020-06-04,27,0
2020-06-05,32,1
2020-06-06,29,1
2020-06-07,14,2
2020-06-08,28,0
2020-06-09,15,-1
2020-06-10,49,1
2020-06-11,23,2
2020-06-12,38,0
2020-06-13,32,0
2020-06-14,45,0
2020-06-15,57,0
2020-06-16,74,2
2020-06-17,98,1
2020-06-18,145,0
2020-06-19,200,0
2020-06-20,276,0
2020-06-21,195,0
2020-06-22,130,2
2020-06-23,208,0
2020-06-24,306,2
2020-06-25,447,0
2020-06-26,678,0
2020-06-27,717,0
2020-06-28,268,0
2020-06-29,389,0
2020-06-30,278,3
2020-07-01,720,1
2020-07-02,718,0
2020-07-03,669,0
2020-07-04,533,0
2020-07-05,336,0
2020-07-06,350,2
2020-07-07,608,0
2020-07-08,621,4
2020-07-09,763,0
2020-07-10,523,2
2020-07-11,582,5
2020-07-12,481,3
2020-07-13,365,4
2020-07-14,431,2
2020-07-15,840,0
2020-07-16,654,4
2020-07-17,250,0
2020-07-18,656,1
2020-07-19,705,4
2020-07-20,295,7
2020-07-21,438,3
2020-07-22,383,5
2020-07-23,429,9
2020-07-24,505,17
2020-07-25,467,1
2020-07-26,245,4
2020-07-27,134,3
2020-07-28,263,3
2020-07-29,419,3
2020-07-30,219,1
2020-07-31,284,5
2020-08-01,350,1
2020-08-02,168,2
2020-08-03,210,2
2020-08-04,178,2
2020-08-05,328,1
2020-08-06,294,12
2020-08-07,275,12
2020-08-08,280,0
2020-08-09,89,1
2020-08-10,208,9
2020-08-11,208,13
2020-08-12,189,2
2020-08-13,145,2
2020-08-14,206,7
2020-08-15,124,1
2020-08-16,104,0
2020-08-17,115,8
2020-08-18,128,2
2020-08-19,149,0
