Date,rcase,rdeath
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,1,0
2020-03-17,0,0
2020-03-18,0,0
2020-03-19,0,0
2020-03-20,0,0
2020-03-21,0,0
2020-03-22,4,0
2020-03-23,4,0
2020-03-24,5,0
2020-03-25,4,0
2020-03-26,4,0
2020-03-27,6,0
2020-03-28,1,0
2020-03-29,8,0
2020-03-30,49,0
2020-03-31,6,0
2020-04-01,2,0
2020-04-02,9,0
2020-04-03,11,0
2020-04-04,8,1
2020-04-05,9,0
2020-04-06,21,0
2020-04-07,16,1
2020-04-08,12,0
2020-04-09,15,1
2020-04-10,8,0
2020-04-11,15,0
2020-04-12,14,0
2020-04-13,9,0
2020-04-14,8,1
2020-04-15,10,0
2020-04-16,17,0
2020-04-17,19,2
2020-04-18,9,2
2020-04-19,8,0
2020-04-20,8,0
2020-04-21,76,2
2020-04-22,23,0
2020-04-23,6,0
2020-04-24,15,1
2020-04-25,15,0
2020-04-26,13,0
2020-04-27,13,0
2020-04-28,9,0
2020-04-29,15,0
2020-04-30,21,0
2020-05-01,13,1
2020-05-02,52,1
2020-05-03,3,0
2020-05-04,5,0
2020-05-05,5,1
2020-05-06,12,1
2020-05-07,5,1
2020-05-08,10,2
2020-05-09,8,0
2020-05-10,4,0
2020-05-11,5,0
2020-05-12,19,1
2020-05-13,6,0
2020-05-14,7,0
2020-05-15,6,1
2020-05-16,7,0
2020-05-17,15,0
2020-05-18,10,0
2020-05-19,6,1
2020-05-20,12,1
2020-05-21,5,2
2020-05-22,9,1
2020-05-23,9,1
2020-05-24,10,0
2020-05-25,3,0
2020-05-26,4,0
2020-05-27,7,3
2020-05-28,11,0
2020-05-29,11,4
2020-05-30,10,0
2020-05-31,14,0
2020-06-01,18,0
2020-06-02,7,1
2020-06-03,11,1
2020-06-04,6,0
2020-06-05,2,1
2020-06-06,14,0
2020-06-07,3,0
2020-06-08,9,0
2020-06-09,16,0
2020-06-10,14,0
2020-06-11,22,1
2020-06-12,7,0
2020-06-13,22,1
2020-06-14,19,0
2020-06-15,20,0
2020-06-16,21,0
2020-06-17,23,3
2020-06-18,47,1
2020-06-19,47,0
2020-06-20,32,0
2020-06-21,14,0
2020-06-22,43,2
2020-06-23,68,0
2020-06-24,87,0
2020-06-25,160,2
2020-06-26,49,1
2020-06-27,42,0
2020-06-28,37,0
2020-06-29,249,1
2020-06-30,94,-1
2020-07-01,187,1
2020-07-02,152,1
2020-07-03,188,1
2020-07-04,207,0
2020-07-05,131,0
2020-07-06,115,1
2020-07-07,120,3
2020-07-08,125,1
2020-07-09,160,1
2020-07-10,167,0
2020-07-11,481,0
2020-07-12,187,1
2020-07-13,152,0
2020-07-14,250,1
2020-07-15,301,1
2020-07-16,289,0
2020-07-17,215,1
2020-07-18,204,1
2020-07-19,131,4
2020-07-20,173,1
2020-07-21,226,1
2020-07-22,150,10
2020-07-23,211,3
2020-07-24,166,0
2020-07-25,167,5
2020-07-26,141,2
2020-07-27,99,4
2020-07-28,170,3
2020-07-29,176,4
2020-07-30,155,3
2020-07-31,172,2
2020-08-01,99,0
2020-08-02,116,0
2020-08-03,136,5
2020-08-04,107,6
2020-08-05,204,4
2020-08-06,291,4
2020-08-07,560,6
2020-08-08,211,0
2020-08-09,125,0
2020-08-10,173,13
2020-08-11,114,6
2020-08-12,109,4
2020-08-13,89,6
2020-08-14,80,3
2020-08-15,62,2
2020-08-16,55,0
2020-08-17,83,7
2020-08-18,97,5
2020-08-19,104,6
2020-08-20,90,1
2020-08-21,69,0
2020-08-22,39,0
2020-08-23,43,0
2020-08-24,35,7
2020-08-25,80,1
2020-08-26,59,6
2020-08-27,67,1
2020-08-28,51,2
2020-08-29,35,0
2020-08-30,25,0
2020-08-31,75,2
2020-09-01,51,1
2020-09-02,56,1
2020-09-03,60,2
2020-09-04,63,1
2020-09-05,41,0
2020-09-06,26,0
2020-09-07,28,0
2020-09-08,54,1
2020-09-09,68,6
2020-09-10,58,3
2020-09-11,48,0
2020-09-12,51,0
2020-09-13,25,1
2020-09-14,51,6
2020-09-15,31,4
2020-09-16,18,1
2020-09-17,15,2
2020-09-18,18,0
2020-09-19,20,0
2020-09-20,8,0
2020-09-21,28,1
2020-09-22,32,5
2020-09-23,37,7
2020-09-24,39,1
2020-09-25,38,0
2020-09-26,24,0
2020-09-27,6,0
2020-09-28,69,2
2020-09-29,37,5
2020-09-30,44,2
2020-10-01,20,1
2020-10-02,34,2
2020-10-03,30,3
2020-10-04,17,0
2020-10-05,21,0
2020-10-06,38,4
2020-10-07,36,9
2020-10-08,24,1
2020-10-09,15,6
2020-10-10,35,2
2020-10-11,14,4
2020-10-12,24,0
2020-10-13,39,3
2020-10-14,98,1
2020-10-15,48,1
2020-10-16,79,0
2020-10-17,28,0
2020-10-18,9,1
2020-10-19,35,0
2020-10-20,26,0
2020-10-21,67,0
2020-10-22,65,0
2020-10-23,87,0
2020-10-24,15,0
2020-10-25,32,0
2020-10-26,46,0
2020-10-27,66,0
2020-10-28,70,0
2020-10-29,66,2
2020-10-30,59,1
2020-10-31,61,0
2020-11-01,25,0
2020-11-02,65,1
2020-11-03,109,0
2020-11-04,107,1
2020-11-05,105,1
2020-11-06,66,5
2020-11-07,133,0
2020-11-08,60,3
2020-11-09,98,0
2020-11-10,116,1
2020-11-11,137,1
2020-11-12,136,5
2020-11-13,97,-1
2020-11-14,140,0
2020-11-15,70,0
2020-11-16,110,1
2020-11-17,137,1
2020-11-18,147,3
2020-11-19,147,4
2020-11-20,140,-1
2020-11-21,56,1
2020-11-22,64,0
2020-11-23,110,1
2020-11-24,120,2
2020-11-25,174,0
2020-11-26,73,4
2020-11-27,109,4
2020-11-28,94,0
2020-11-29,54,1
2020-11-30,145,1
2020-12-01,132,1
2020-12-02,170,4
2020-12-03,160,3
2020-12-04,181,2
2020-12-05,99,1
2020-12-06,82,2
2020-12-07,79,7
2020-12-08,170,3
2020-12-09,278,1
2020-12-10,186,0
2020-12-11,187,4
2020-12-12,149,1
2020-12-13,108,0
2020-12-14,140,7
2020-12-15,257,1
2020-12-16,226,3
2020-12-17,281,3
2020-12-18,268,0
2020-12-19,141,2
2020-12-20,109,3
2020-12-21,162,6
2020-12-22,300,2
2020-12-23,217,1
2020-12-24,204,0
2020-12-25,114,3
2020-12-26,141,3
2020-12-27,103,2
2020-12-28,139,8
2020-12-29,363,6
2020-12-30,340,1
2020-12-31,399,0
2021-01-01,267,7
2021-01-02,191,5
2021-01-03,177,1
2021-01-04,217,3
2021-01-05,454,6
2021-01-06,463,8
2021-01-07,331,5
2021-01-08,289,8
2021-01-09,240,1
2021-01-10,180,1
2021-01-11,344,13
