Date,rcase,rdeath,death_incd,excess
2020-03-02,2,0,0,29.0198412698413
2020-03-03,2,0,0,29.0198412698413
2020-03-04,4,0,2,29.0198412698413
2020-03-05,1,0,1,29.0198412698413
2020-03-06,0,0,1,29.0198412698413
2020-03-07,4,0,0,29.0198412698413
2020-03-08,1,0,0,19.0198412698413
2020-03-09,5,0,0,19.0198412698413
2020-03-10,3,0,1,19.0198412698413
2020-03-11,6,0,0,19.0198412698413
2020-03-12,7,0,0,19.0198412698413
2020-03-13,24,0,0,19.0198412698413
2020-03-14,45,0,2,19.0198412698413
2020-03-15,33,0,2,0.638888888888904
2020-03-16,31,0,0,0.638888888888904
2020-03-17,70,0,3,0.638888888888904
2020-03-18,107,0,1,0.638888888888904
2020-03-19,87,0,2,0.638888888888904
2020-03-20,150,7,2,0.638888888888904
2020-03-21,217,2,8,0.638888888888904
2020-03-22,306,4,3,20.2103174603175
2020-03-23,193,5,5,20.2103174603175
2020-03-24,299,2,14,20.2103174603175
2020-03-25,515,3,19,20.2103174603175
2020-03-26,560,7,14,20.2103174603175
2020-03-27,689,16,17,20.2103174603175
2020-03-28,728,10,12,20.2103174603175
2020-03-29,909,3,20,32.1150793650793
2020-03-30,897,12,22,32.1150793650793
2020-03-31,937,14,32,32.1150793650793
2020-04-01,1071,12,30,32.1150793650793
2020-04-02,1298,47,35,32.1150793650793
2020-04-03,1312,26,30,32.1150793650793
2020-04-04,1191,25,34,32.1150793650793
2020-04-05,783,26,44,43.9722222222222
2020-04-06,1209,33,42,43.9722222222222
2020-04-07,1047,42,45,43.9722222222222
2020-04-08,1074,13,43,43.9722222222222
2020-04-09,1061,62,40,43.9722222222222
2020-04-10,1120,48,40,43.9722222222222
2020-04-11,1089,27,40,43.9722222222222
2020-04-12,823,28,36,41.7817460317461
2020-04-13,970,39,42,41.7817460317461
2020-04-14,600,58,49,41.7817460317461
2020-04-15,918,25,40,41.7817460317461
2020-04-16,1209,72,45,41.7817460317461
2020-04-17,1089,58,53,41.7817460317461
2020-04-18,746,22,38,41.7817460317461
2020-04-19,715,26,48,66.3055555555556
2020-04-20,752,49,50,66.3055555555556
