Date,rcase,rdeath
2020-03-02,0,0
2020-03-03,1,0
2020-03-04,1,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,0,0
2020-03-18,3,0
2020-03-19,1,0
2020-03-20,0,0
2020-03-21,2,0
2020-03-22,1,0
2020-03-23,0,0
2020-03-24,2,0
2020-03-25,1,0
2020-03-26,4,0
2020-03-27,3,0
2020-03-28,0,0
2020-03-29,3,0
2020-03-30,6,0
2020-03-31,7,0
2020-04-01,9,0
2020-04-02,3,0
2020-04-03,10,0
2020-04-04,8,0
2020-04-05,12,0
2020-04-06,14,0
2020-04-07,13,0
2020-04-08,9,0
2020-04-09,12,0
2020-04-10,31,0
2020-04-11,9,0
2020-04-12,52,2
2020-04-13,13,0
2020-04-14,5,0
2020-04-15,15,0
2020-04-16,18,0
2020-04-17,7,1
2020-04-18,11,0
2020-04-19,9,0
2020-04-20,10,0
2020-04-21,5,0
2020-04-22,7,0
2020-04-23,35,1
2020-04-24,10,2
2020-04-25,3,0
2020-04-26,7,0
2020-04-27,9,1
2020-04-28,11,0
2020-04-29,7,0
2020-04-30,14,0
2020-05-01,18,0
2020-05-02,58,0
2020-05-03,13,1
2020-05-04,11,1
2020-05-05,28,3
2020-05-06,61,1
2020-05-07,9,0
2020-05-08,127,1
2020-05-09,22,0
2020-05-10,10,0
2020-05-11,15,0
2020-05-12,24,0
2020-05-13,10,1
2020-05-14,51,1
2020-05-15,18,0
2020-05-16,52,0
2020-05-17,26,0
2020-05-18,38,0
2020-05-19,28,2
2020-05-20,18,0
2020-05-21,64,0
2020-05-22,20,1
2020-05-23,8,1
2020-05-24,62,0
2020-05-25,5,0
2020-05-26,7,0
2020-05-27,3,0
2020-05-28,33,0
2020-05-29,10,3
2020-05-30,11,0
2020-05-31,12,1
2020-06-01,17,0
2020-06-02,31,2
2020-06-03,11,0
2020-06-04,20,0
2020-06-05,17,1
2020-06-06,18,0
2020-06-07,8,0
2020-06-08,11,0
2020-06-09,6,1
2020-06-10,7,1
2020-06-11,16,0
2020-06-12,5,1
2020-06-13,13,1
2020-06-14,8,0
2020-06-15,17,0
2020-06-16,18,1
2020-06-17,13,1
2020-06-18,35,1
2020-06-19,59,1
2020-06-20,32,0
2020-06-21,22,0
2020-06-22,31,0
2020-06-23,60,0
2020-06-24,78,0
2020-06-25,132,0
2020-06-26,124,1
2020-06-27,191,0
2020-06-28,54,0
2020-06-29,137,0
2020-06-30,73,0
2020-07-01,126,0
2020-07-02,147,0
2020-07-03,194,0
2020-07-04,216,0
2020-07-05,84,0
2020-07-06,93,0
2020-07-07,172,0
2020-07-08,169,1
2020-07-09,242,0
2020-07-10,207,1
2020-07-11,152,0
2020-07-12,176,0
2020-07-13,170,2
2020-07-14,224,4
2020-07-15,180,1
2020-07-16,231,1
2020-07-17,171,4
2020-07-18,274,1
2020-07-19,287,4
2020-07-20,239,5
2020-07-21,222,3
2020-07-22,384,2
2020-07-23,253,0
2020-07-24,431,2
2020-07-25,243,0
2020-07-26,139,2
2020-07-27,206,8
2020-07-28,410,1
2020-07-29,214,6
2020-07-30,202,5
2020-07-31,409,5
2020-08-01,320,2
2020-08-02,175,1
2020-08-03,221,1
2020-08-04,224,8
2020-08-05,388,5
2020-08-06,579,2
2020-08-07,287,2
2020-08-08,170,1
2020-08-09,181,1
2020-08-10,233,7
2020-08-11,109,2
2020-08-12,204,8
2020-08-13,96,4
2020-08-14,148,7
2020-08-15,115,1
2020-08-16,77,1
2020-08-17,191,2
2020-08-18,116,1
2020-08-19,167,5
2020-08-20,164,3
2020-08-21,224,6
2020-08-22,109,2
2020-08-23,95,1
2020-08-24,103,2
2020-08-25,102,4
2020-08-26,128,2
2020-08-27,137,1
2020-08-28,100,3
2020-08-29,160,0
2020-08-30,49,0
2020-08-31,282,4
2020-09-01,203,3
2020-09-02,388,2
2020-09-03,371,2
2020-09-04,524,3
2020-09-05,277,3
2020-09-06,173,1
2020-09-07,142,1
2020-09-08,207,10
2020-09-09,210,8
2020-09-10,408,1
2020-09-11,303,0
2020-09-12,197,2
2020-09-13,120,0
2020-09-14,186,1
2020-09-15,147,1
2020-09-16,236,8
2020-09-17,212,4
2020-09-18,152,4
2020-09-19,141,0
2020-09-20,77,0
2020-09-21,184,2
2020-09-22,90,7
2020-09-23,131,4
2020-09-24,146,2
2020-09-25,113,3
2020-09-26,65,1
2020-09-27,11,0
2020-09-28,187,6
2020-09-29,65,7
2020-09-30,97,6
2020-10-01,131,2
2020-10-02,88,0
2020-10-03,55,2
2020-10-04,49,1
2020-10-05,54,2
2020-10-06,97,1
2020-10-07,158,9
2020-10-08,102,3
2020-10-09,68,4
2020-10-10,160,0
2020-10-11,96,-1
2020-10-12,59,2
2020-10-13,85,4
2020-10-14,135,1
2020-10-15,139,2
2020-10-16,104,1
2020-10-17,60,1
2020-10-18,42,2
2020-10-19,112,0
